iso3c,privcredit_pre,mktcap_pre,fdi_pctgdp_pre,gfcf_pctgdp_pre,mva_pctgdp_pre,mva_growth_pre,gdp_usd_pre,privcredit_post,mktcap_post,fdi_pctgdp_post,gfcf_pctgdp_post,mva_pctgdp_post,mva_growth_post,gdp_usd_post,group,d_fdi,d_gfcf,d_mva,findev,findev_hi
ARM,60.2133106171701,0.303299189682912,1.63490374924315,17.8365496838977,11.3982073538759,6.22000000118631,12825059431.024,60.7196058761056,7.04229211824518,2.49391886319172,21.1033370999995,10.7052752142924,4.09999999921764,24724554257.7915,intermediary,0.859015113948566,3.26678741610187,-2.12000000196868,60.516609806853,FALSE
GEO,66.3203925415492,,7.45023833185355,23.376384513153,9.19954716865236,4.0588653185294,17375598435.4237,66.5467045838512,,6.23164610451909,20.3866572539992,8.62545720479669,6.06054265937207,32023859687.1336,intermediary,-1.21859222733447,-2.98972725915381,2.00167734084267,66.3203925415492,FALSE
IDN,38.3161718648599,48.0685895589556,1.93311613723386,31.8599944032015,19.7673168999973,2.5645085417905,1084510936456.75,35.9942723155521,55.418061238818,1.68094257314244,29.0375367980144,18.763184971242,4.81447609489776,1383053120438.88,durable,-0.252173564091427,-2.82245760518707,2.24996755310726,86.3847614238155,TRUE
KAZ,26.2064127558692,25.2148502221377,2.32629758976909,22.8198708463209,12.171286134976,5.01999999980783,179201514518.851,26.5138602785309,35.5732753801362,1.21457460063864,23.8008080674888,12.7029397301397,5.19999999982271,271263978571.067,intermediary,-1.11172298913046,0.980937221167864,0.180000000014875,51.421262978007,FALSE
KGZ,23.7712936379382,,0.450460252543988,28.6402367267959,13.5881026997786,3.91216972453398,8572984487.94181,21.0110870668537,,0.96886730537729,23.1479327388826,13.1475254929051,9.89996534246034,17025289045.4506,intermediary,0.518407052833302,-5.4923039879133,5.98779561792636,23.7712936379382,FALSE
MAR,83.5232168110276,52.361686739907,1.82847915712208,27.1400898677722,14.928189756977,2.30706976544453,127635538172.699,81.9348599055916,48.3143367486412,1.3455142271324,26.2391685786097,15.509761577291,3.28004653210344,155066662784.565,durable,-0.482964929989686,-0.900921289162554,0.972976766658914,135.884903550935,TRUE
MEX,35.1066360562283,35.1952541089315,2.72261596414237,21.8712494381411,20.2518103628571,0.885467301953926,1237752419369.16,34.5128279334521,31.2300541090282,2.30446309102852,22.9673028947582,20.5144639867217,1.61512460627106,1731118936956.51,durable,-0.418152873113859,1.09605345661707,0.729657304317131,70.3018901651598,TRUE
POL,49.8786849255792,29.6401695506316,3.52775643327352,18.1401670421401,16.7082883750374,1.50897656495339,604148318890.813,35.869747418881,24.8371491880908,3.64368412220988,17.1017039800641,16.5579699581744,5.40298346188272,865329388653.905,durable,0.115927688936365,-1.03846306207602,3.89400689692933,79.5188544762108,TRUE
SRB,40.696473196166,,7.02535132990859,20.9009237150476,15.9240667231173,1.12674980172478,54931790073.7635,34.857341654664,,5.77820484538339,23.4795769678802,13.6056426983163,2.18744622095687,84548896443.6359,durable,-1.2471464845252,2.57865325283256,1.0606964192321,40.696473196166,FALSE
TUR,69.4607568528033,23.5913259672139,1.32683124097063,28.6721835328796,19.1804440260425,6.15027112235264,800330313530.553,47.742825378852,29.603071764699,1.09430144368997,31.3315260730396,19.3710274399855,2.07744236705865,1255939334908.1,durable,-0.23252979728066,2.65934254016003,-4.07282875529399,93.0520828200171,TRUE
UZB,23.7879310531239,6.92842558202002,2.41635692812713,29.8545030750903,15.9520671891434,106.336486670821,71012515593.37,31.6776553886377,13.3270178224577,2.5666007131006,32.0639946332177,19.8098074565723,6.80371188631605,117551760480.778,intermediary,0.150243784973473,2.20949155812737,-99.5327747845049,30.7163566351439,FALSE
VNM,111.417633311957,52.3720185544273,4.73247058089944,30.512299655298,23.6375248249112,8.71168795842405,327783169237.407,124.961478822546,47.2006667974087,4.27618973506669,29.735898625207,24.4075684801694,8.0215377395182,459568013878.979,durable,-0.456280845832749,-0.776401030091034,-0.690150218905849,163.789651866384,TRUE
